state_name,county_name,Debt_All,Debt_Communities_Color,Debt_Majorities_White,Avg_Household_Income_All,Avg_Non_White_Income,Avg_Non_Hispanic
Hawaii,KAUAI,.2392796,.2320644,.2039216,100559,95678,108832
Hawaii,MAUI,.2450808,.2578502,49,99883,96506,105072
Idaho,ADA,.3067449,49,.3079475,96684,83899,98374
Idaho,BANNOCK,.3350573,49,.3383743,65404,57123,66724
Idaho,BEAR,.4358974,49,.4358974,66372,46426,67456
Idaho,BENEWAH,.2819672,49,.2572614,56776,44489,58214
Idaho,BINGHAM,.3691081,49,.3762846,67631,49293,72724
Idaho,BOISE,.3250884,49,.3250884,72816,74860,72666
Idaho,BONNER,.2831077,49,.2831858,66370,57878,66802
Idaho,BONNEVILLE,.3563958,49,.3585571,84685,56518,89130
Idaho,BOUNDARY,.222488,49,.229064,64115,73485,63331
Idaho,CAMAS,49,49,49,72695,30327,73911
Idaho,CANYON,.3329718,49,.3433568,71937,61422,75566
Idaho,CARIBOU,.4830509,49,.4830509,72773,53688,74308
Idaho,CASSIA,.3212796,49,.3212796,66145,55874,69323
Idaho,ELMORE,.3755606,49,.3755606,56989,43621,60742
Idaho,GEM,.2639751,49,.2639751,57326,48844,58312
Idaho,GOODING,.3088235,49,.3161094,62514,55675,64358
Idaho,IDAHO,.2609603,49,.2578616,54281,57771,54064
Idaho,JEROME,.3766423,49,.3766423,62875,55769,65536
Idaho,KOOTENAI,.3045765,49,.306886,74659,75077,74623
Idaho,LATAH,.2683128,49,.2683128,66546,38165,69216
Idaho,LEMHI,.2452107,49,.2490272,53967,59939,53780
Idaho,MINIDOKA,.3300971,49,.3296501,67816,50891,75857
Idaho,NEZ,.3461539,.4102564,.3422292,71465,56273,72878
Idaho,OWYHEE,.2788732,49,.2788732,60798,39340,67686
Idaho,PAYETTE,.3380282,49,.3380282,68276,61367,69435
Idaho,POWER,.2955466,49,49,63375,47796,69886
Idaho,SHOSHONE,.3029613,49,.3029613,53892,27800,55841
Idaho,TWIN,.3335717,49,.3361253,72044,51969,76553
Illinois,BOND,.3303571,49,.3303571,72369,57826,73510
Illinois,BUREAU,.3380414,.3090909,.3396226,72177,64759,72846
Illinois,COLES,.3175572,49,.3175572,66458,52298,67296
Illinois,DUPAGE,.2694329,.3054683,.2618982,126800,110139,133159
Illinois,EDGAR,.3308271,49,.3308271,62511,118142,61854
Illinois,EFFINGHAM,.292851,49,.292851,77771,47523,78630
Illinois,IROQUOIS,.3471445,49,.3464567,65047,59356,65421
Illinois,JERSEY,.2847897,49,.2847897,75610,44888,76294
Illinois,JO,.3532537,49,.3537234,74630,55328,75222
Illinois,KANKAKEE,.3039877,.1698113,.3239437,73666,54488,79399
Illinois,MCDONOUGH,.3115385,49,.3115385,60150,63541,59926
Illinois,MACOUPIN,.3217855,49,.3217855,68714,57349,69078
Illinois,MASSAC,.2785388,49,.2785388,56735,44263,58049
Illinois,MOULTRIE,.3325,49,.3325,73189,54712,73637
Illinois,OGLE,.366605,49,.3680944,75899,59667,77373
Illinois,PEORIA,.3114446,.2209632,.3250278,82292,69132,86844
Illinois,PIATT,.3658537,49,.3658537,81088,59180,81458
Illinois,SANGAMON,.3332776,49,.3431011,80923,51744,86959
Illinois,STEPHENSON,.2917241,49,.2916379,62817,41761,66393
Illinois,WHITESIDE,.3931767,49,.3931767,71473,57629,73213
Illinois,WILL,.3441583,.306233,.3637812,108439,93625,114642
Indiana,BARTHOLOMEW,.3133694,49,.3134037,87331,114743,82641
Indiana,BLACKFORD,.3341969,49,.3341969,56693,48209,56979
Indiana,DEARBORN,.3436533,49,.3436533,80394,54490,80937
Indiana,DUBOIS,.253003,49,.2528388,74871,50870,76607
Indiana,ELKHART,.2970979,49,.2980056,72420,48819,78714
Indiana,FOUNTAIN,.3615108,49,.3615108,67826,57398,68215
Indiana,HENDRICKS,.3776486,49,.37906,108107,102800,108985
Indiana,HUNTINGTON,.3897436,49,.3897436,64240,50164,64850
Indiana,JAY,.2734761,49,.2734761,60027,47612,60466
Indiana,JENNINGS,.3146453,49,.3149425,67996,171316,64421
Indiana,KOSCIUSKO,.30834,49,.310554,77934,68784,78860
Indiana,LAGRANGE,.2497472,49,.2502554,77943,38583,79652
Indiana,LAPORTE,.327374,49,.3282783,73242,52592,77097
Indiana,PARKE,.3688889,49,.3697105,64709,63364,64791
Indiana,PORTER,.3515466,49,.3518036,92719,84294,94031
Indiana,POSEY,.3231492,49,.3231492,78947,53002,79755
Indiana,STARKE,.3352436,49,.3352436,64476,42254,65186
Indiana,SWITZERLAND,.3846154,49,.3822394,62890,74422,62433
Indiana,TIPPECANOE,.2864785,49,.2886156,70167,49206,75510
Indiana,VANDERBURGH,.2726797,49,.2758236,72542,53764,75416
Indiana,VERMILLION,.3481781,49,.3479167,61067,44572,61545
Indiana,VIGO,.2879257,49,.289367,65988,74601,64936
Indiana,WABASH,.3188259,49,.318413,64394,75084,63979
Indiana,WARRICK,.3112488,49,.3116635,94684,112588,93364
Iowa,ALLAMAKEE,.3089431,49,.3089431,65543,48403,66647
Iowa,APPANOOSE,.3184211,49,.3184211,58551,34192,59595
Iowa,AUDUBON,.2133333,49,.2176871,64386,96931,63489
Iowa,BLACK,.2950439,49,.3023685,83308,83869,83189
Iowa,BREMER,.3412699,49,.3435419,82376,75564,82561
